"Verify when user SIM Card (without billing support)reaches 80% of the alert, the data module in the utility tray it will change its background color to the alert-background color. (orange)","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/147003/")"
"Verify that tapping in the credit module, in the notification bar, opens the Detailed Telephony App View.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146991/")"
"Verify in the notification bar the user has information about calls made for the user's postpaid subscription.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146992/")"
"Verify the functionality of selecting the starting day of a monthly tracking cycle but do no change it","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146976/")"
"Start day selection for Weekly billing period, Go back with no changes. Postpaid users SIM Card with billing support.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146977/")"
"Verify postpaid users (SIM Card with billing support) can switching between Monthly, Weekly and Never billing periods and going back without changes","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146978/")"
"Verify that the data usage counter is reset after the end of a Monthly billing period.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146981/")"
"Verify that the data usage counter resets after the end of a Weekly billing period.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146982/")"
"Verify the low balance threshold can be turned off.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146970/")"
"Verify that low balance threshold by default is on","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146971/")"
"Verify a message displays when the threshold is set to 0.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146972/")"
"Verify the done button is disabled if threshold is empty.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146973/")"
"Verify the user can edit low balance warning threshold.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146975/")"
"Verify when an already configured SIM card (without billing support) is inserted data from the older card used is recovered.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146936/")"
"Verify that data usage counter does not reset when "Never" billing period is selected","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146915/")"
"Verify the format of the graphic showing data consumption displays correctly.","2","Firefox OS v2.2","Sept. 3, 2014, 4:11 p.m.","=HYPERLINK("https://moztrap.mozilla.org/manage/cases/_detail/146911/")"
